questionType,questionText,questionMark,questionImg,audioFile,answer1,isCorrect1,answer2,isCorrect2,answer3,isCorrect3,answer4,isCorrect4
multiple_choice,저는 여행을 좋아해서 방학마다 다른 나라에 갑니다.,1,,,저는 여행을 싫어합니다.,0,저는 방학마다 여행을 갑니다.,1,저는 방학 때 공부만 합니다.,0,저는 같은 나라에만 갑니다.,0
multiple_choice,비가 많이 와서 우산을 가지고 나왔습니다.,1,,,비가 와도 우산이 필요 없습니다.,0,비가 오지 않았습니다.,0,비가 와서 우산을 썼습니다.,1,햇빛이 강해서 모자를 썼습니다.,0
multiple_choice,오늘은 엄마 생신이라서 케이크를 샀습니다.,1,,,오늘은 아빠 생신입니다.,0,오늘은 친구 생일입니다.,0,오늘은 엄마 생신이라 케이크를 샀습니다.,1,오늘은 아무 일도 없습니다.,0
multiple_choice,저는 매일 아침 신문을 읽습니다. 세상 소식을 아는 것이 중요하다고 생각합니다.,1,,,저는 신문을 읽지 않습니다.,0,저는 밤마다 신문을 봅니다.,0,저는 아침마다 신문을 읽습니다.,1,신문은 재미없습니다.,0
multiple_choice,저는 아침마다 (     ) 마십니다.,1,,,커피를,1,책을,0,운동을,0,음악을,0
multiple_choice,비가 와서 (     ) 가져왔어요.,1,,,우산을,1,모자를,0,가방을,0,전화기를,0
multiple_choice,저는 친구하고 영화를 (     ).,1,,,봤어요,1,먹었어요,0,샀어요,0,들었어요,0
multiple_choice,오늘은 날씨가 (     ).,1,,,좋아요,1,공부해요,0,자요,0,마셔요,0
multiple_choice,학교에 (     ) 공부를 시작했어요.,1,,,가서,1,마셔서,0,먹어서,0,자서,0
multiple_choice,저는 매일 한국어를 (     ).,1,,,공부해요,1,운동해요,0,요리해요,0,청소해요,0
multiple_choice,저는 주말에 산에 (     ).,1,,,갔어요,1,읽었어요,0,썼어요,0,마셨어요,0
multiple_choice,지하철을 타고 회사에 (     ).,1,,,가요,1,마셔요,0,읽어요,0,자요,0
multiple_choice,점심시간에 친구들과 (     ) 갔어요.,1,,,식당에,1,학교에,0,도서관에,0,회사에,0
multiple_choice,날씨가 추워서 옷을 (     ).,1,,,입었어요,1,먹었어요,0,썼어요,0,읽었어요,0
multiple_choice,저는 영국 사람입니다. 친구는 중국 사람입니다.,1,,,가족,0,날짜,0,나라,1,학교,0
multiple_choice,민수 씨는 의사입니다. 병원에서 일합니다.,1,,,요일,0,여행,0,취미,0,직업,1
multiple_choice,오늘은 비가 옵니다. 조금 춥습니다.,1,,,운동,0,날씨,1,방학,0,계획,0
multiple_choice,저는 아침에 일어나서 세수를 (     ).,1,,,씻어요,0,해요,0,해요,0,해요,1
multiple_choice,어제 친구하고 영화를 (     ).,1,,,봤어요,1,먹었어요,0,잤어요,0,들었어요,0
multiple_choice,시험이 어려워서 많이 (     ).,1,,,틀렸어요,1,마셨어요,0,읽었어요,0,걸었어요,0
multiple_choice,오늘은 날씨가 좋아서 공원에서 (     ).,1,,,운동했어요,0,공부했어요,0,산책했어요,1,청소했어요,0
multiple_choice,저는 주말마다 시장에 (     ).,1,,,가요,1,먹어요,0,읽어요,0,자요,0
multiple_choice,친구가 준 선물을 받고 정말 (     ).,1,,,기뻤어요,1,슬펐어요,0,무서웠어요,0,배고팠어요,0
multiple_choice,버스가 늦게 와서 회사에 (     ) 도착했어요.,1,,,늦게,1,일찍,0,조용히,0,빨리,0
multiple_choice,저는 저녁에 보통 뉴스를 (     ).,1,,,봐요,1,자요,0,씻어요,0,가요,0
multiple_choice,동생은 밥을 먹고 이를 (     ).,1,,,닦아요,1,신어요,0,읽어요,0,잊어요,0
multiple_choice,오늘 날씨가 (     ) 좋아요.,1,,,덥게,0,춥게,0,맑게,1,비가,0
multiple_choice,이 책은 (     ) 재미있어요.,1,,,정말,1,조금,0,전혀,0,간혹,0
multiple_choice,학교에 (     ) 갔어요.,1,,,빠르게,0,천천히,1,쉽게,0,무겁게,0
multiple_choice,그 사람은 (     ) 일을 잘 해요.,1,,,느리게,0,빠르게,1,조금,0,꾸준히,0
multiple_choice,나는 매일 (     ) 운동해요.,1,,,운동기구,0,자전거,0,조깅,1,축구,0
multiple_choice,그녀는 (     ) 공부해요.,1,,,열심히,1,적당히,0,대충,0,가끔,0
multiple_choice,나는 (     ) 영화를 봤어요.,1,,,어제,1,내일,0,항상,0,자주,0
multiple_choice,이 문제는 (     ) 어려워요.,1,,,조금,0,매우,1,전혀,0,가끔,0
multiple_choice,우리는 (     ) 도착할 거예요.,1,,,일찍,1,늦게,0,정확히,0,간신히,0
multiple_choice,그는 (     ) 집에 갔어요.,1,,,빠르게,0,천천히,1,무겁게,0,쉽게,0
multiple_choice,그 사람은 (     ) 운동을 좋아해요.,1,,,매일,1,가끔,0,전혀,0,아주,0
multiple_choice,이 문제는 (     ) 쉬워요.,1,,,조금,0,많이,1,전혀,0,가끔,0
multiple_choice,저는 (     ) 자주 운동해요.,1,,,매일,0,일주일에 한 번,1,가끔,0,전혀,0
multiple_choice,오늘은 (     ) 날씨에요.,1,,,맑은,1,비오는,0,춥은,0,더운,0
multiple_choice,나는 (     ) 영화를 좋아해요.,1,,,공포,0,로맨스,1,액션,0,드라마,0
multiple_choice,그녀는 (     ) 책을 읽어요.,1,,,종종,1,자주,0,간혹,0,가끔,0
multiple_choice,저는 (     ) 책을 읽는 걸 좋아해요.,1,,,소설,0,만화,1,전문서적,0,잡지,0
multiple_choice,저는 매일 (     ) 공부해요.,1,,,2시간,0,5시간,1,10분,0,3시간,0
multiple_choice,그 사람은 항상 (     ) 이야기를 해요.,1,,,재미있는,1,지루한,0,무서운,0,짧은,0
multiple_choice,이 책은 (     ) 재미있어요.,1,,,조금,0,많이,1,전혀,0,별로,0
multiple_choice,저는 아침에 (     ) 일어나요.,1,,,일찍,1,늦게,0,정확히,0,항상,0
multiple_choice,그 사람은 항상 (     ) 웃어요.,1,,,크게,1,조용히,0,작게,0,자주,0
multiple_choice,이 문제는 (     ) 쉬워요.,1,,,조금,0,매우,1,전혀,0,항상,0
multiple_choice,우리는 (     ) 만나기로 했어요.,1,,,내일,1,오늘,0,어제,0,몇 주 후,0
multiple_choice,나는 매일 (     ) 수업을 들어요.,1,,,두 시간,0,한 시간,1,세 시간,0,네 시간,0
multiple_choice,그는 (     ) 키가 커요.,1,,,아주,0,조금,1,많이,0,좀,0
multiple_choice,우리는 (     ) 가게에서 물건을 샀어요.,1,,,큰,1,작은,0,편리한,0,새로운,0
multiple_choice,그녀는 (     ) 바쁘게 일해요.,1,,,매우,1,조금,0,전혀,0,간혹,0
multiple_choice,그 영화는 (     ) 재미있었어요.,1,,,매우,0,조금,1,별로,0,그저,0
multiple_choice,그 사람은 (     ) 빠르게 달려요.,1,,,매우,1,조금,0,전혀,0,다소,0
multiple_choice,저는 주말에 (     ) 여행을 가요.,1,,,종종,0,매일,1,가끔,0,항상,0
multiple_choice,나는 (     ) 치킨을 좋아해요.,1,,,양념,0,후라이드,1,구운,0,양배추,0
multiple_choice,그 사람은 (     ) 영어를 잘 해요.,1,,,유창하게,1,조금,0,전혀,0,간혹,0
multiple_choice,나는 (     ) 시간을 보내요.,1,,,혼자,0,친구와,1,가족과,0,동료와,0
multiple_choice,오늘은 (     ) 날씨가 좋아요.,1,,,맑은,1,비오는,0,더운,0,추운,0
multiple_choice,이 노래는 (     ) 좋아요.,1,,,듣기,1,보기,0,가볍게,0,소리,0
multiple_choice,그는 항상 (     ) 책을 읽어요.,1,,,자주,1,가끔,0,전혀,0,매일,0
multiple_choice,내일은 (     ) 비가 올 거예요.,1,,,아마,1,반드시,0,확실히,0,가끔,0
multiple_choice,이 영화는 (     ) 재미없어요.,1,,,별로,1,정말,0,매우,0,약간,0
multiple_choice,그는 오늘 (     ) 늦게 일어났어요.,1,,,조금,0,매우,1,약간,0,전혀,0
multiple_choice,이 음식은 (     ) 맛있어요.,1,,,정말,0,약간,1,전혀,0,아주,0
multiple_choice,그녀는 (     ) 빨리 달려요.,1,,,매우,1,조금,0,천천히,0,다소,0
multiple_choice,오늘은 (     ) 날이네요.,1,,,아주,1,많이,0,전혀,0,조금,0
multiple_choice,이 영화는 (     ) 재미있지 않아요.,1,,,별로,1,매우,0,정말,0,약간,0
multiple_choice,내일은 (     ) 날씨일 것 같아요.,1,,,맑은,1,비오는,0,추운,0,더운,0
multiple_choice,이 문제는 (     ) 어려워요.,1,,,조금,0,많이,0,전혀,1,다소,0
multiple_choice,그 사람은 (     ) 이사를 했어요.,1,,,최근에,0,몇 년 전에,1,어제,0,내일,0
multiple_choice,오늘은 (     ) 날씨에요.,1,,,맑은,0,비오는,0,매우 덥,1,흐린,0
multiple_choice,저는 (     ) 음악을 좋아해요.,1,,,클래식,0,팝,1,록,0,재즈,0
multiple_choice,그 영화는 (     ) 재미없었어요.,1,,,별로,0,매우,1,정말,0,흥미로운,0
multiple_choice,내일은 (     ) 날씨일 것 같아요.,1,,,덥지 않게,1,비,0,추운,0,맑을,0
multiple_choice,그는 항상 (     ) 빨리 달려요.,1,,,매우,0,빠르게,1,천천히,0,불규칙하게,0
